"","region","year","share","scenario","generation"
"1","China",1990,19.5060359825289,"Ref","clean"
"2","China",1990,80.4939640174711,"Ref","conventional"
"3","China",2005,18.0236520893841,"Ref","clean"
"4","China",2005,81.9763479106159,"Ref","conventional"
"5","China",2010,20.4153119722758,"Ref","clean"
"6","China",2010,79.5846880277242,"Ref","conventional"
"7","China",2015,26.8611157592746,"Ref","clean"
"8","China",2015,73.1388842407254,"Ref","conventional"
"9","China",2020,27.6078652636733,"Ref","clean"
"10","China",2020,72.3921347363267,"Ref","conventional"
"11","China",2025,30.4170925711676,"Ref","clean"
"12","China",2025,69.5829074288324,"Ref","conventional"
"13","China",2030,33.6683344042382,"Ref","clean"
"14","China",2030,66.3316655957619,"Ref","conventional"
"15","China",2035,36.6374022189807,"Ref","clean"
"16","China",2035,63.3625977810193,"Ref","conventional"
"17","China",2040,39.5748126098694,"Ref","clean"
"18","China",2040,60.4251873901306,"Ref","conventional"
"19","China",2045,41.7650079916469,"Ref","clean"
"20","China",2045,58.2349920083531,"Ref","conventional"
"21","China",2050,43.9367930883677,"Ref","clean"
"22","China",2050,56.0632069116323,"Ref","conventional"
"23","China",2065,NA,"Ref","clean"
"24","China",2065,NA,"Ref","conventional"
"25","China",2080,NA,"Ref","clean"
"26","China",2080,NA,"Ref","conventional"
"27","China",2095,NA,"Ref","clean"
"28","China",2095,NA,"Ref","conventional"
"29","China",1990,19.5060359825289,"1p5","clean"
"30","China",1990,80.4939640174711,"1p5","conventional"
"31","China",2005,18.0236520893841,"1p5","clean"
"32","China",2005,81.9763479106159,"1p5","conventional"
"33","China",2010,20.4153119722758,"1p5","clean"
"34","China",2010,79.5846880277242,"1p5","conventional"
"35","China",2015,26.8611157592746,"1p5","clean"
"36","China",2015,73.1388842407254,"1p5","conventional"
"37","China",2020,27.6011571508729,"1p5","clean"
"38","China",2020,72.398842849127,"1p5","conventional"
"39","China",2025,52.0462824577719,"1p5","clean"
"40","China",2025,47.9537175422281,"1p5","conventional"
"41","China",2030,80.9775497284004,"1p5","clean"
"42","China",2030,19.0224502715996,"1p5","conventional"
"43","China",2035,96.2905025635773,"1p5","clean"
"44","China",2035,3.70949743642274,"1p5","conventional"
"45","China",2040,99.8521576940532,"1p5","clean"
"46","China",2040,0.1478423059468,"1p5","conventional"
"47","China",2045,99.9987809177991,"1p5","clean"
"48","China",2045,0.00121908220093416,"1p5","conventional"
"49","China",2050,99.9999962599285,"1p5","clean"
"50","China",2050,0.00000374007147502025,"1p5","conventional"
"51","China",2065,NA,"1p5","clean"
"52","China",2065,NA,"1p5","conventional"
"53","China",2080,NA,"1p5","clean"
"54","China",2080,NA,"1p5","conventional"
"55","China",2095,NA,"1p5","clean"
"56","China",2095,NA,"1p5","conventional"
"57","China",1990,19.5060359825289,"1p5 delay","clean"
"58","China",1990,80.4939640174711,"1p5 delay","conventional"
"59","China",2005,18.0236520893841,"1p5 delay","clean"
"60","China",2005,81.9763479106159,"1p5 delay","conventional"
"61","China",2010,20.4153119722758,"1p5 delay","clean"
"62","China",2010,79.5846880277242,"1p5 delay","conventional"
"63","China",2015,26.8611157592746,"1p5 delay","clean"
"64","China",2015,73.1388842407254,"1p5 delay","conventional"
"65","China",2020,27.6011571508729,"1p5 delay","clean"
"66","China",2020,72.398842849127,"1p5 delay","conventional"
"67","China",2025,30.2645093933322,"1p5 delay","clean"
"68","China",2025,69.7354906066678,"1p5 delay","conventional"
"69","China",2030,33.4292838158505,"1p5 delay","clean"
"70","China",2030,66.5707161841495,"1p5 delay","conventional"
"71","China",2035,57.6692791479783,"1p5 delay","clean"
"72","China",2035,42.3307208520217,"1p5 delay","conventional"
"73","China",2040,90.1008519101576,"1p5 delay","clean"
"74","China",2040,9.8991480898424,"1p5 delay","conventional"
"75","China",2045,99.9668629178834,"1p5 delay","clean"
"76","China",2045,0.0331370821166066,"1p5 delay","conventional"
"77","China",2050,99.9999980970086,"1p5 delay","clean"
"78","China",2050,0.00000190299144619606,"1p5 delay","conventional"
"79","China",2065,NA,"1p5 delay","clean"
"80","China",2065,NA,"1p5 delay","conventional"
"81","China",2080,NA,"1p5 delay","clean"
"82","China",2080,NA,"1p5 delay","conventional"
"83","China",2095,NA,"1p5 delay","clean"
"84","China",2095,NA,"1p5 delay","conventional"
"85","EU-27",1990,43.9974795203986,"Ref","clean"
"86","EU-27",1990,56.0025204796014,"Ref","conventional"
"87","EU-27",2005,46.4264615347427,"Ref","clean"
"88","EU-27",2005,53.5735384652573,"Ref","conventional"
"89","EU-27",2010,49.4857379647458,"Ref","clean"
"90","EU-27",2010,50.5142620352542,"Ref","conventional"
"91","EU-27",2015,57.0716554533305,"Ref","clean"
"92","EU-27",2015,42.9283445466695,"Ref","conventional"
"93","EU-27",2020,58.0351853860133,"Ref","clean"
"94","EU-27",2020,41.9648146139867,"Ref","conventional"
"95","EU-27",2025,58.4406688197829,"Ref","clean"
"96","EU-27",2025,41.5593311802171,"Ref","conventional"
"97","EU-27",2030,59.3324310724424,"Ref","clean"
"98","EU-27",2030,40.6675689275576,"Ref","conventional"
"99","EU-27",2035,60.4367387244133,"Ref","clean"
"100","EU-27",2035,39.5632612755867,"Ref","conventional"
"101","EU-27",2040,61.7383217761537,"Ref","clean"
"102","EU-27",2040,38.2616782238463,"Ref","conventional"
"103","EU-27",2045,60.6463787766259,"Ref","clean"
"104","EU-27",2045,39.3536212233741,"Ref","conventional"
"105","EU-27",2050,61.7756440070149,"Ref","clean"
"106","EU-27",2050,38.2243559929851,"Ref","conventional"
"107","EU-27",2065,NA,"Ref","clean"
"108","EU-27",2065,NA,"Ref","conventional"
"109","EU-27",2080,NA,"Ref","clean"
"110","EU-27",2080,NA,"Ref","conventional"
"111","EU-27",2095,NA,"Ref","clean"
"112","EU-27",2095,NA,"Ref","conventional"
"113","EU-27",1990,43.9974795203986,"1p5","clean"
"114","EU-27",1990,56.0025204796014,"1p5","conventional"
"115","EU-27",2005,46.4264615347427,"1p5","clean"
"116","EU-27",2005,53.5735384652573,"1p5","conventional"
"117","EU-27",2010,49.4857379647458,"1p5","clean"
"118","EU-27",2010,50.5142620352542,"1p5","conventional"
"119","EU-27",2015,57.0716554533305,"1p5","clean"
"120","EU-27",2015,42.9283445466695,"1p5","conventional"
"121","EU-27",2020,58.0416516805253,"1p5","clean"
"122","EU-27",2020,41.9583483194747,"1p5","conventional"
"123","EU-27",2025,72.1606101312724,"1p5","clean"
"124","EU-27",2025,27.8393898687276,"1p5","conventional"
"125","EU-27",2030,86.0653494533367,"1p5","clean"
"126","EU-27",2030,13.9346505466633,"1p5","conventional"
"127","EU-27",2035,94.8881631316432,"1p5","clean"
"128","EU-27",2035,5.11183686835677,"1p5","conventional"
"129","EU-27",2040,99.5493535498152,"1p5","clean"
"130","EU-27",2040,0.450646450184837,"1p5","conventional"
"131","EU-27",2045,99.9970383284312,"1p5","clean"
"132","EU-27",2045,0.00296167156880632,"1p5","conventional"
"133","EU-27",2050,99.9999920451517,"1p5","clean"
"134","EU-27",2050,0.00000795484827854824,"1p5","conventional"
"135","EU-27",2065,NA,"1p5","clean"
"136","EU-27",2065,NA,"1p5","conventional"
"137","EU-27",2080,NA,"1p5","clean"
"138","EU-27",2080,NA,"1p5","conventional"
"139","EU-27",2095,NA,"1p5","clean"
"140","EU-27",2095,NA,"1p5","conventional"
"141","EU-27",1990,43.9974795203986,"1p5 delay","clean"
"142","EU-27",1990,56.0025204796014,"1p5 delay","conventional"
"143","EU-27",2005,46.4264615347427,"1p5 delay","clean"
"144","EU-27",2005,53.5735384652573,"1p5 delay","conventional"
"145","EU-27",2010,49.4857379647458,"1p5 delay","clean"
"146","EU-27",2010,50.5142620352542,"1p5 delay","conventional"
"147","EU-27",2015,57.0716554533305,"1p5 delay","clean"
"148","EU-27",2015,42.9283445466695,"1p5 delay","conventional"
"149","EU-27",2020,58.0416516842302,"1p5 delay","clean"
"150","EU-27",2020,41.9583483157698,"1p5 delay","conventional"
"151","EU-27",2025,58.2307912706584,"1p5 delay","clean"
"152","EU-27",2025,41.7692087293416,"1p5 delay","conventional"
"153","EU-27",2030,58.96128156605,"1p5 delay","clean"
"154","EU-27",2030,41.03871843395,"1p5 delay","conventional"
"155","EU-27",2035,74.8194328669293,"1p5 delay","clean"
"156","EU-27",2035,25.1805671330707,"1p5 delay","conventional"
"157","EU-27",2040,91.6976455621682,"1p5 delay","clean"
"158","EU-27",2040,8.30235443783182,"1p5 delay","conventional"
"159","EU-27",2045,99.9364123447041,"1p5 delay","clean"
"160","EU-27",2045,0.0635876552959012,"1p5 delay","conventional"
"161","EU-27",2050,99.9999965016674,"1p5 delay","clean"
"162","EU-27",2050,0.00000349833264731184,"1p5 delay","conventional"
"163","EU-27",2065,NA,"1p5 delay","clean"
"164","EU-27",2065,NA,"1p5 delay","conventional"
"165","EU-27",2080,NA,"1p5 delay","clean"
"166","EU-27",2080,NA,"1p5 delay","conventional"
"167","EU-27",2095,NA,"1p5 delay","clean"
"168","EU-27",2095,NA,"1p5 delay","conventional"
"169","Global",1990,37.083897537804,"Ref","clean"
"170","Global",1990,62.916102462196,"Ref","conventional"
"171","Global",2005,33.8438999925763,"Ref","clean"
"172","Global",2005,66.1561000074237,"Ref","conventional"
"173","Global",2010,32.8608484368569,"Ref","clean"
"174","Global",2010,67.1391515631431,"Ref","conventional"
"175","Global",2015,33.6701385145006,"Ref","clean"
"176","Global",2015,66.3298614854994,"Ref","conventional"
"177","Global",2020,34.7815732349934,"Ref","clean"
"178","Global",2020,65.2184267650066,"Ref","conventional"
"179","Global",2025,36.566993615427,"Ref","clean"
"180","Global",2025,63.433006384573,"Ref","conventional"
"181","Global",2030,38.3854419141018,"Ref","clean"
"182","Global",2030,61.6145580858982,"Ref","conventional"
"183","Global",2035,40.1511704998903,"Ref","clean"
"184","Global",2035,59.8488295001097,"Ref","conventional"
"185","Global",2040,41.9551909226944,"Ref","clean"
"186","Global",2040,58.0448090773056,"Ref","conventional"
"187","Global",2045,42.8584268595674,"Ref","clean"
"188","Global",2045,57.1415731404326,"Ref","conventional"
"189","Global",2050,44.1244423134405,"Ref","clean"
"190","Global",2050,55.8755576865595,"Ref","conventional"
"191","Global",2065,NA,"Ref","clean"
"192","Global",2065,NA,"Ref","conventional"
"193","Global",2080,NA,"Ref","clean"
"194","Global",2080,NA,"Ref","conventional"
"195","Global",2095,NA,"Ref","clean"
"196","Global",2095,NA,"Ref","conventional"
"197","Global",1990,37.083897537804,"1p5","clean"
"198","Global",1990,62.916102462196,"1p5","conventional"
"199","Global",2005,33.8438999925763,"1p5","clean"
"200","Global",2005,66.1561000074237,"1p5","conventional"
"201","Global",2010,32.8608484368569,"1p5","clean"
"202","Global",2010,67.1391515631431,"1p5","conventional"
"203","Global",2015,33.6701385145006,"1p5","clean"
"204","Global",2015,66.3298614854994,"1p5","conventional"
"205","Global",2020,34.77594382774,"1p5","clean"
"206","Global",2020,65.2240561722599,"1p5","conventional"
"207","Global",2025,56.4073538714535,"1p5","clean"
"208","Global",2025,43.5926461285465,"1p5","conventional"
"209","Global",2030,77.4961534005672,"1p5","clean"
"210","Global",2030,22.5038465994329,"1p5","conventional"
"211","Global",2035,91.4276101401698,"1p5","clean"
"212","Global",2035,8.57238985983021,"1p5","conventional"
"213","Global",2040,99.0290062108008,"1p5","clean"
"214","Global",2040,0.970993789199241,"1p5","conventional"
"215","Global",2045,99.9888810612419,"1p5","clean"
"216","Global",2045,0.0111189387581352,"1p5","conventional"
"217","Global",2050,99.9999598561866,"1p5","clean"
"218","Global",2050,0.000040143813427336,"1p5","conventional"
"219","Global",2065,NA,"1p5","clean"
"220","Global",2065,NA,"1p5","conventional"
"221","Global",2080,NA,"1p5","clean"
"222","Global",2080,NA,"1p5","conventional"
"223","Global",2095,NA,"1p5","clean"
"224","Global",2095,NA,"1p5","conventional"
"225","Global",1990,37.083897537804,"1p5 delay","clean"
"226","Global",1990,62.916102462196,"1p5 delay","conventional"
"227","Global",2005,33.8438999925763,"1p5 delay","clean"
"228","Global",2005,66.1561000074237,"1p5 delay","conventional"
"229","Global",2010,32.8608484368569,"1p5 delay","clean"
"230","Global",2010,67.1391515631431,"1p5 delay","conventional"
"231","Global",2015,33.6701385145006,"1p5 delay","clean"
"232","Global",2015,66.3298614854994,"1p5 delay","conventional"
"233","Global",2020,34.7759260836515,"1p5 delay","clean"
"234","Global",2020,65.2240739163485,"1p5 delay","conventional"
"235","Global",2025,36.4209376467585,"1p5 delay","clean"
"236","Global",2025,63.5790623532415,"1p5 delay","conventional"
"237","Global",2030,38.1196406037658,"1p5 delay","clean"
"238","Global",2030,61.8803593962342,"1p5 delay","conventional"
"239","Global",2035,59.79271575895,"1p5 delay","clean"
"240","Global",2035,40.20728424105,"1p5 delay","conventional"
"241","Global",2040,84.7536586026429,"1p5 delay","clean"
"242","Global",2040,15.2463413973571,"1p5 delay","conventional"
"243","Global",2045,99.7715732757183,"1p5 delay","clean"
"244","Global",2045,0.228426724281748,"1p5 delay","conventional"
"245","Global",2050,99.999973357644,"1p5 delay","clean"
"246","Global",2050,0.0000266423559766661,"1p5 delay","conventional"
"247","Global",2065,NA,"1p5 delay","clean"
"248","Global",2065,NA,"1p5 delay","conventional"
"249","Global",2080,NA,"1p5 delay","clean"
"250","Global",2080,NA,"1p5 delay","conventional"
"251","Global",2095,NA,"1p5 delay","clean"
"252","Global",2095,NA,"1p5 delay","conventional"
"253","India",1990,26.587167797758,"Ref","clean"
"254","India",1990,73.412832202242,"Ref","conventional"
"255","India",2005,19.0746856679615,"Ref","clean"
"256","India",2005,80.9253143320385,"Ref","conventional"
"257","India",2010,18.8606209331057,"Ref","clean"
"258","India",2010,81.1393790668943,"Ref","conventional"
"259","India",2015,18.3439572751727,"Ref","clean"
"260","India",2015,81.6560427248273,"Ref","conventional"
"261","India",2020,20.4719687020176,"Ref","clean"
"262","India",2020,79.5280312979824,"Ref","conventional"
"263","India",2025,26.0711726883732,"Ref","clean"
"264","India",2025,73.9288273116268,"Ref","conventional"
"265","India",2030,29.6227095103421,"Ref","clean"
"266","India",2030,70.3772904896579,"Ref","conventional"
"267","India",2035,32.3997127677502,"Ref","clean"
"268","India",2035,67.6002872322498,"Ref","conventional"
"269","India",2040,34.6959880458662,"Ref","clean"
"270","India",2040,65.3040119541338,"Ref","conventional"
"271","India",2045,36.2085629073988,"Ref","clean"
"272","India",2045,63.7914370926012,"Ref","conventional"
"273","India",2050,37.5476903458513,"Ref","clean"
"274","India",2050,62.4523096541487,"Ref","conventional"
"275","India",2065,NA,"Ref","clean"
"276","India",2065,NA,"Ref","conventional"
"277","India",2080,NA,"Ref","clean"
"278","India",2080,NA,"Ref","conventional"
"279","India",2095,NA,"Ref","clean"
"280","India",2095,NA,"Ref","conventional"
"281","India",1990,26.587167797758,"1p5","clean"
"282","India",1990,73.412832202242,"1p5","conventional"
"283","India",2005,19.0746856679615,"1p5","clean"
"284","India",2005,80.9253143320385,"1p5","conventional"
"285","India",2010,18.8606209331057,"1p5","clean"
"286","India",2010,81.1393790668943,"1p5","conventional"
"287","India",2015,18.3439572751727,"1p5","clean"
"288","India",2015,81.6560427248273,"1p5","conventional"
"289","India",2020,20.4669243983595,"1p5","clean"
"290","India",2020,79.5330756016405,"1p5","conventional"
"291","India",2025,50.876064225145,"1p5","clean"
"292","India",2025,49.123935774855,"1p5","conventional"
"293","India",2030,77.097945743181,"1p5","clean"
"294","India",2030,22.902054256819,"1p5","conventional"
"295","India",2035,93.8607064546758,"1p5","clean"
"296","India",2035,6.13929354532417,"1p5","conventional"
"297","India",2040,99.5720839923618,"1p5","clean"
"298","India",2040,0.427916007638184,"1p5","conventional"
"299","India",2045,99.9950517409971,"1p5","clean"
"300","India",2045,0.00494825900290616,"1p5","conventional"
"301","India",2050,99.9999898992357,"1p5","clean"
"302","India",2050,0.000010100764272238,"1p5","conventional"
"303","India",2065,NA,"1p5","clean"
"304","India",2065,NA,"1p5","conventional"
"305","India",2080,NA,"1p5","clean"
"306","India",2080,NA,"1p5","conventional"
"307","India",2095,NA,"1p5","clean"
"308","India",2095,NA,"1p5","conventional"
"309","India",1990,26.587167797758,"1p5 delay","clean"
"310","India",1990,73.412832202242,"1p5 delay","conventional"
"311","India",2005,19.0746856679615,"1p5 delay","clean"
"312","India",2005,80.9253143320385,"1p5 delay","conventional"
"313","India",2010,18.8606209331057,"1p5 delay","clean"
"314","India",2010,81.1393790668943,"1p5 delay","conventional"
"315","India",2015,18.3439572751727,"1p5 delay","clean"
"316","India",2015,81.6560427248273,"1p5 delay","conventional"
"317","India",2020,20.4669243983595,"1p5 delay","clean"
"318","India",2020,79.5330756016405,"1p5 delay","conventional"
"319","India",2025,25.7532114836411,"1p5 delay","clean"
"320","India",2025,74.2467885163589,"1p5 delay","conventional"
"321","India",2030,28.9988765497436,"1p5 delay","clean"
"322","India",2030,71.0011234502564,"1p5 delay","conventional"
"323","India",2035,49.0748571814883,"1p5 delay","clean"
"324","India",2035,50.9251428185117,"1p5 delay","conventional"
"325","India",2040,82.09412492404,"1p5 delay","clean"
"326","India",2040,17.9058750759601,"1p5 delay","conventional"
"327","India",2045,99.7768402269743,"1p5 delay","clean"
"328","India",2045,0.223159773025723,"1p5 delay","conventional"
"329","India",2050,99.9999899657536,"1p5 delay","clean"
"330","India",2050,0.000010034246383546,"1p5 delay","conventional"
"331","India",2065,NA,"1p5 delay","clean"
"332","India",2065,NA,"1p5 delay","conventional"
"333","India",2080,NA,"1p5 delay","clean"
"334","India",2080,NA,"1p5 delay","conventional"
"335","India",2095,NA,"1p5 delay","clean"
"336","India",2095,NA,"1p5 delay","conventional"
