"","region","year","value","scenario","sector","Units"
"1","Global",2000,844.87,"Reference","iron and steel","Mt"
"2","US",2000,102,"Reference","iron and steel","Mt"
"3","China",2000,129,"Reference","iron and steel","Mt"
"4","India",2000,27,"Reference","iron and steel","Mt"
"5","Japan",2000,106,"Reference","iron and steel","Mt"
"6","South Korea",2000,43,"Reference","iron and steel","Mt"
"7","EU-27",2000,195,"Reference","iron and steel","Mt"
"8","Global",2001,853.58,"Reference","iron and steel","Mt"
"9","US",2001,90,"Reference","iron and steel","Mt"
"10","China",2001,152,"Reference","iron and steel","Mt"
"11","India",2001,27,"Reference","iron and steel","Mt"
"12","Japan",2001,103,"Reference","iron and steel","Mt"
"13","South Korea",2001,44,"Reference","iron and steel","Mt"
"14","EU-27",2001,189,"Reference","iron and steel","Mt"
"15","Global",2002,908.45,"Reference","iron and steel","Mt"
"16","US",2002,92,"Reference","iron and steel","Mt"
"17","China",2002,182,"Reference","iron and steel","Mt"
"18","India",2002,29,"Reference","iron and steel","Mt"
"19","Japan",2002,108,"Reference","iron and steel","Mt"
"20","South Korea",2002,45,"Reference","iron and steel","Mt"
"21","EU-27",2002,190,"Reference","iron and steel","Mt"
"22","Global",2003,968.83,"Reference","iron and steel","Mt"
"23","US",2003,94,"Reference","iron and steel","Mt"
"24","China",2003,222,"Reference","iron and steel","Mt"
"25","India",2003,32,"Reference","iron and steel","Mt"
"26","Japan",2003,111,"Reference","iron and steel","Mt"
"27","South Korea",2003,46,"Reference","iron and steel","Mt"
"28","EU-27",2003,194,"Reference","iron and steel","Mt"
"29","Global",2004,1059.04,"Reference","iron and steel","Mt"
"30","US",2004,100,"Reference","iron and steel","Mt"
"31","China",2004,273,"Reference","iron and steel","Mt"
"32","India",2004,33,"Reference","iron and steel","Mt"
"33","Japan",2004,113,"Reference","iron and steel","Mt"
"34","South Korea",2004,48,"Reference","iron and steel","Mt"
"35","EU-27",2004,204,"Reference","iron and steel","Mt"
"36","Global",2005,1131.31,"Reference","iron and steel","Mt"
"37","US",2005,95,"Reference","iron and steel","Mt"
"38","China",2005,356,"Reference","iron and steel","Mt"
"39","India",2005,46,"Reference","iron and steel","Mt"
"40","Japan",2005,112,"Reference","iron and steel","Mt"
"41","South Korea",2005,48,"Reference","iron and steel","Mt"
"42","EU-27",2005,198,"Reference","iron and steel","Mt"
"43","Global",2006,1239.29,"Reference","iron and steel","Mt"
"44","US",2006,98,"Reference","iron and steel","Mt"
"45","China",2006,421,"Reference","iron and steel","Mt"
"46","India",2006,49,"Reference","iron and steel","Mt"
"47","Japan",2006,116,"Reference","iron and steel","Mt"
"48","South Korea",2006,48,"Reference","iron and steel","Mt"
"49","EU-27",2006,209,"Reference","iron and steel","Mt"
"50","Global",2007,1325.06,"Reference","iron and steel","Mt"
"51","US",2007,98,"Reference","iron and steel","Mt"
"52","China",2007,490,"Reference","iron and steel","Mt"
"53","India",2007,53,"Reference","iron and steel","Mt"
"54","Japan",2007,120,"Reference","iron and steel","Mt"
"55","South Korea",2007,52,"Reference","iron and steel","Mt"
"56","EU-27",2007,212,"Reference","iron and steel","Mt"
"57","Global",2008,1308.75,"Reference","iron and steel","Mt"
"58","US",2008,92,"Reference","iron and steel","Mt"
"59","China",2008,512,"Reference","iron and steel","Mt"
"60","India",2008,58,"Reference","iron and steel","Mt"
"61","Japan",2008,119,"Reference","iron and steel","Mt"
"62","South Korea",2008,54,"Reference","iron and steel","Mt"
"63","EU-27",2008,201,"Reference","iron and steel","Mt"
"64","Global",2009,1215.98,"Reference","iron and steel","Mt"
"65","US",2009,59,"Reference","iron and steel","Mt"
"66","China",2009,577,"Reference","iron and steel","Mt"
"67","India",2009,64,"Reference","iron and steel","Mt"
"68","Japan",2009,88,"Reference","iron and steel","Mt"
"69","South Korea",2009,49,"Reference","iron and steel","Mt"
"70","EU-27",2009,141,"Reference","iron and steel","Mt"
"71","Global",2010,1419.63,"Reference","iron and steel","Mt"
"72","US",2010,80,"Reference","iron and steel","Mt"
"73","China",2010,639,"Reference","iron and steel","Mt"
"74","India",2010,69,"Reference","iron and steel","Mt"
"75","Japan",2010,110,"Reference","iron and steel","Mt"
"76","South Korea",2010,59,"Reference","iron and steel","Mt"
"77","EU-27",2010,175,"Reference","iron and steel","Mt"
"78","Global",2011,1530.7,"Reference","iron and steel","Mt"
"79","US",2011,86,"Reference","iron and steel","Mt"
"80","China",2011,702,"Reference","iron and steel","Mt"
"81","India",2011,73,"Reference","iron and steel","Mt"
"82","Japan",2011,108,"Reference","iron and steel","Mt"
"83","South Korea",2011,69,"Reference","iron and steel","Mt"
"84","EU-27",2011,180,"Reference","iron and steel","Mt"
"85","Global",2012,1558.88,"Reference","iron and steel","Mt"
"86","US",2012,89,"Reference","iron and steel","Mt"
"87","China",2012,731,"Reference","iron and steel","Mt"
"88","India",2012,77,"Reference","iron and steel","Mt"
"89","Japan",2012,107,"Reference","iron and steel","Mt"
"90","South Korea",2012,69,"Reference","iron and steel","Mt"
"91","EU-27",2012,171,"Reference","iron and steel","Mt"
"92","Global",2013,1664.1,"Reference","iron and steel","Mt"
"93","US",2013,87,"Reference","iron and steel","Mt"
"94","China",2013,822,"Reference","iron and steel","Mt"
"95","India",2013,81,"Reference","iron and steel","Mt"
"96","Japan",2013,111,"Reference","iron and steel","Mt"
"97","South Korea",2013,66,"Reference","iron and steel","Mt"
"98","EU-27",2013,169,"Reference","iron and steel","Mt"
"99","Global",2014,1678.4,"Reference","iron and steel","Mt"
"100","US",2014,88,"Reference","iron and steel","Mt"
"101","China",2014,822,"Reference","iron and steel","Mt"
"102","India",2014,87,"Reference","iron and steel","Mt"
"103","Japan",2014,111,"Reference","iron and steel","Mt"
"104","South Korea",2014,72,"Reference","iron and steel","Mt"
"105","EU-27",2014,171,"Reference","iron and steel","Mt"
"106","Global",2015,1626.14,"Reference","iron and steel","Mt"
"107","US",2015,79,"Reference","iron and steel","Mt"
"108","China",2015,804,"Reference","iron and steel","Mt"
"109","India",2015,89,"Reference","iron and steel","Mt"
"110","Japan",2015,105,"Reference","iron and steel","Mt"
"111","South Korea",2015,70,"Reference","iron and steel","Mt"
"112","EU-27",2015,178,"Reference","iron and steel","Mt"
"113","Global",2016,1640.4,"Reference","iron and steel","Mt"
"114","US",2016,78,"Reference","iron and steel","Mt"
"115","China",2016,808,"Reference","iron and steel","Mt"
"116","India",2016,95,"Reference","iron and steel","Mt"
"117","Japan",2016,105,"Reference","iron and steel","Mt"
"118","South Korea",2016,69,"Reference","iron and steel","Mt"
"119","EU-27",2016,175,"Reference","iron and steel","Mt"
"120","Global",2017,1759.89,"Reference","iron and steel","Mt"
"121","US",2017,82,"Reference","iron and steel","Mt"
"122","China",2017,871,"Reference","iron and steel","Mt"
"123","India",2017,101,"Reference","iron and steel","Mt"
"124","Japan",2017,105,"Reference","iron and steel","Mt"
"125","South Korea",2017,71,"Reference","iron and steel","Mt"
"126","EU-27",2017,182,"Reference","iron and steel","Mt"
"127","Global",2018,1835.81,"Reference","iron and steel","Mt"
"128","US",2018,87,"Reference","iron and steel","Mt"
"129","China",2018,928,"Reference","iron and steel","Mt"
"130","India",2018,109,"Reference","iron and steel","Mt"
"131","Japan",2018,104,"Reference","iron and steel","Mt"
"132","South Korea",2018,72,"Reference","iron and steel","Mt"
"133","EU-27",2018,179,"Reference","iron and steel","Mt"
"134","Global",2019,1875,"Reference","iron and steel","Mt"
"135","US",2019,88,"Reference","iron and steel","Mt"
"136","China",2019,996,"Reference","iron and steel","Mt"
"137","India",2019,111,"Reference","iron and steel","Mt"
"138","Japan",2019,99,"Reference","iron and steel","Mt"
"139","South Korea",2019,71,"Reference","iron and steel","Mt"
"140","EU-27",2019,170,"Reference","iron and steel","Mt"
"141","Global",2020,1916.25,"Reference","iron and steel","Mt"
"142","US",2020,87,"Reference","iron and steel","Mt"
"143","China",2020,1024,"Reference","iron and steel","Mt"
"144","India",2020,119,"Reference","iron and steel","Mt"
"145","Japan",2020,98,"Reference","iron and steel","Mt"
"146","South Korea",2020,72,"Reference","iron and steel","Mt"
"147","EU-27",2020,171,"Reference","iron and steel","Mt"
"148","China",2020,1039.05776,"Material efficiency and price increase","iron and steel","Mt"
"149","China",2020,1058.934133,"Reference","iron and steel","Mt"
"150","China",2020,1058.934953,"Material efficiency","iron and steel","Mt"
"151","China",2025,926.814337,"Material efficiency and price increase","iron and steel","Mt"
"152","China",2025,1087.975011,"Reference","iron and steel","Mt"
"153","China",2025,1053.9929056,"Material efficiency","iron and steel","Mt"
"154","China",2030,886.4970115,"Material efficiency and price increase","iron and steel","Mt"
"155","China",2030,1060.59275688,"Reference","iron and steel","Mt"
"156","China",2030,996.31435884,"Material efficiency","iron and steel","Mt"
"157","China",2035,818.1153322,"Material efficiency and price increase","iron and steel","Mt"
"158","China",2035,999.93006382,"Reference","iron and steel","Mt"
"159","China",2035,911.65194109,"Material efficiency","iron and steel","Mt"
"160","China",2040,723.8922107,"Material efficiency and price increase","iron and steel","Mt"
"161","China",2040,941.4379895,"Reference","iron and steel","Mt"
"162","China",2040,833.60330811,"Material efficiency","iron and steel","Mt"
"163","China",2045,641.135367023,"Material efficiency and price increase","iron and steel","Mt"
"164","China",2045,868.93952067,"Reference","iron and steel","Mt"
"165","China",2045,744.96898107,"Material efficiency","iron and steel","Mt"
"166","China",2050,548.226614287142,"Material efficiency and price increase","iron and steel","Mt"
"167","China",2050,787.74698989,"Reference","iron and steel","Mt"
"168","China",2050,652.03167372,"Material efficiency","iron and steel","Mt"
"169","EU-27",2020,171.14814635,"Material efficiency and price increase","iron and steel","Mt"
"170","EU-27",2020,172.53189219,"Reference","iron and steel","Mt"
"171","EU-27",2020,172.28664253,"Material efficiency","iron and steel","Mt"
"172","EU-27",2025,157.50065149,"Material efficiency and price increase","iron and steel","Mt"
"173","EU-27",2025,179.70934432,"Reference","iron and steel","Mt"
"174","EU-27",2025,169.97631711,"Material efficiency","iron and steel","Mt"
"175","EU-27",2030,151.882072277,"Material efficiency and price increase","iron and steel","Mt"
"176","EU-27",2030,181.436686465,"Reference","iron and steel","Mt"
"177","EU-27",2030,163.284906108,"Material efficiency","iron and steel","Mt"
"178","EU-27",2035,144.913410587,"Material efficiency and price increase","iron and steel","Mt"
"179","EU-27",2035,180.111595072,"Reference","iron and steel","Mt"
"180","EU-27",2035,154.220754441,"Material efficiency","iron and steel","Mt"
"181","EU-27",2040,135.0139229,"Material efficiency and price increase","iron and steel","Mt"
"182","EU-27",2040,177.98708867,"Reference","iron and steel","Mt"
"183","EU-27",2040,145.07677364,"Material efficiency","iron and steel","Mt"
"184","EU-27",2045,122.68860079286,"Material efficiency and price increase","iron and steel","Mt"
"185","EU-27",2045,175.42124847,"Reference","iron and steel","Mt"
"186","EU-27",2045,133.99412807,"Material efficiency","iron and steel","Mt"
"187","EU-27",2050,110.953772270474,"Material efficiency and price increase","iron and steel","Mt"
"188","EU-27",2050,171.57228813,"Reference","iron and steel","Mt"
"189","EU-27",2050,123.78013471,"Material efficiency","iron and steel","Mt"
"190","Global",2020,1924.0557126302,"Material efficiency and price increase","iron and steel","Mt"
"191","Global",2020,1948.42513661161,"Reference","iron and steel","Mt"
"192","Global",2020,1947.79539638623,"Material efficiency","iron and steel","Mt"
"193","Global",2025,1863.86630455275,"Material efficiency and price increase","iron and steel","Mt"
"194","Global",2025,2137.97207025833,"Reference","iron and steel","Mt"
"195","Global",2025,2059.18485840592,"Material efficiency","iron and steel","Mt"
"196","Global",2030,1921.55164725044,"Material efficiency and price increase","iron and steel","Mt"
"197","Global",2030,2259.75016382534,"Reference","iron and steel","Mt"
"198","Global",2030,2106.12507203016,"Material efficiency","iron and steel","Mt"
"199","Global",2035,1942.15899593114,"Material efficiency and price increase","iron and steel","Mt"
"200","Global",2035,2342.83148307064,"Reference","iron and steel","Mt"
"201","Global",2035,2113.57252390784,"Material efficiency","iron and steel","Mt"
"202","Global",2040,1912.76526615327,"Material efficiency and price increase","iron and steel","Mt"
"203","Global",2040,2422.9220345344,"Reference","iron and steel","Mt"
"204","Global",2040,2114.34789999355,"Material efficiency","iron and steel","Mt"
"205","Global",2045,1870.51777816321,"Material efficiency and price increase","iron and steel","Mt"
"206","Global",2045,2477.24862576139,"Reference","iron and steel","Mt"
"207","Global",2045,2084.18845396519,"Material efficiency","iron and steel","Mt"
"208","Global",2050,1806.45665373632,"Material efficiency and price increase","iron and steel","Mt"
"209","Global",2050,2504.28829695738,"Reference","iron and steel","Mt"
"210","Global",2050,2033.75426469059,"Material efficiency","iron and steel","Mt"
"211","India",2020,117.522775,"Material efficiency and price increase","iron and steel","Mt"
"212","India",2020,117.657917,"Reference","iron and steel","Mt"
"213","India",2020,117.658195,"Material efficiency","iron and steel","Mt"
"214","India",2025,199.808696,"Material efficiency and price increase","iron and steel","Mt"
"215","India",2025,216.656135,"Reference","iron and steel","Mt"
"216","India",2025,210.053615,"Material efficiency","iron and steel","Mt"
"217","India",2030,264.8075558,"Material efficiency and price increase","iron and steel","Mt"
"218","India",2030,299.7039545,"Reference","iron and steel","Mt"
"219","India",2030,281.4803238,"Material efficiency","iron and steel","Mt"
"220","India",2035,321.9193206,"Material efficiency and price increase","iron and steel","Mt"
"221","India",2035,380.0769727,"Reference","iron and steel","Mt"
"222","India",2035,345.5791157,"Material efficiency","iron and steel","Mt"
"223","India",2040,369.383772242,"Material efficiency and price increase","iron and steel","Mt"
"224","India",2040,455.0090345,"Reference","iron and steel","Mt"
"225","India",2040,399.6312553,"Material efficiency","iron and steel","Mt"
"226","India",2045,406.667010771625,"Material efficiency and price increase","iron and steel","Mt"
"227","India",2045,520.4446295,"Reference","iron and steel","Mt"
"228","India",2045,440.9681551,"Material efficiency","iron and steel","Mt"
"229","India",2050,431.614356946805,"Material efficiency and price increase","iron and steel","Mt"
"230","India",2050,573.2051644,"Reference","iron and steel","Mt"
"231","India",2050,470.195286,"Material efficiency","iron and steel","Mt"
"232","Japan",2020,99.10228583,"Material efficiency and price increase","iron and steel","Mt"
"233","Japan",2020,99.33663578,"Reference","iron and steel","Mt"
"234","Japan",2020,99.33699444,"Material efficiency","iron and steel","Mt"
"235","Japan",2025,82.15634484,"Material efficiency and price increase","iron and steel","Mt"
"236","Japan",2025,97.9745852,"Reference","iron and steel","Mt"
"237","Japan",2025,91.28619377,"Material efficiency","iron and steel","Mt"
"238","Japan",2030,77.67868187,"Material efficiency and price increase","iron and steel","Mt"
"239","Japan",2030,94.87846649,"Reference","iron and steel","Mt"
"240","Japan",2030,84.9823908,"Material efficiency","iron and steel","Mt"
"241","Japan",2035,74.81037649,"Material efficiency and price increase","iron and steel","Mt"
"242","Japan",2035,91.90310593,"Reference","iron and steel","Mt"
"243","Japan",2035,79.60622653,"Material efficiency","iron and steel","Mt"
"244","Japan",2040,69.2821579,"Material efficiency and price increase","iron and steel","Mt"
"245","Japan",2040,88.94320093,"Reference","iron and steel","Mt"
"246","Japan",2040,74.75402075,"Material efficiency","iron and steel","Mt"
"247","Japan",2045,62.1730324343,"Material efficiency and price increase","iron and steel","Mt"
"248","Japan",2045,85.9308904,"Reference","iron and steel","Mt"
"249","Japan",2045,69.93556085,"Material efficiency","iron and steel","Mt"
"250","Japan",2050,55.1781703341619,"Material efficiency and price increase","iron and steel","Mt"
"251","Japan",2050,82.912164,"Reference","iron and steel","Mt"
"252","Japan",2050,65.3542241,"Material efficiency","iron and steel","Mt"
"253","ROW",2020,337.345811340205,"Material efficiency and price increase","iron and steel","Mt"
"254","ROW",2020,338.450306031606,"Reference","iron and steel","Mt"
"255","ROW",2020,338.807718426231,"Material efficiency","iron and steel","Mt"
"256","ROW",2025,353.569874202746,"Material efficiency and price increase","iron and steel","Mt"
"257","ROW",2025,390.437992868329,"Reference","iron and steel","Mt"
"258","ROW",2025,378.534523695921,"Material efficiency","iron and steel","Mt"
"259","ROW",2030,401.338356263439,"Material efficiency and price increase","iron and steel","Mt"
"260","ROW",2030,456.134417860336,"Reference","iron and steel","Mt"
"261","ROW",2030,428.37732626216,"Material efficiency","iron and steel","Mt"
"262","ROW",2035,448.646310114141,"Material efficiency and price increase","iron and steel","Mt"
"263","ROW",2035,523.880825078642,"Reference","iron and steel","Mt"
"264","ROW",2035,476.297646667842,"Material efficiency","iron and steel","Mt"
"265","ROW",2040,488.503606297274,"Material efficiency and price increase","iron and steel","Mt"
"266","ROW",2040,594.498229894402,"Reference","iron and steel","Mt"
"267","ROW",2040,522.08472301355,"Material efficiency","iron and steel","Mt"
"268","ROW",2045,519.245424467616,"Material efficiency and price increase","iron and steel","Mt"
"269","ROW",2045,664.746074481394,"Reference","iron and steel","Mt"
"270","ROW",2045,563.177816095186,"Material efficiency","iron and steel","Mt"
"271","ROW",2050,549.811409122664,"Material efficiency and price increase","iron and steel","Mt"
"272","ROW",2050,731.422071337378,"Reference","iron and steel","Mt"
"273","ROW",2050,599.92614566059,"Material efficiency","iron and steel","Mt"
"274","South Korea",2020,71.25283445,"Material efficiency and price increase","iron and steel","Mt"
"275","South Korea",2020,72.35394992,"Reference","iron and steel","Mt"
"276","South Korea",2020,71.61056938,"Material efficiency","iron and steel","Mt"
"277","South Korea",2025,61.74093896,"Material efficiency and price increase","iron and steel","Mt"
"278","South Korea",2025,71.86497188,"Reference","iron and steel","Mt"
"279","South Korea",2025,68.57755809,"Material efficiency","iron and steel","Mt"
"280","South Korea",2030,57.3282376,"Material efficiency and price increase","iron and steel","Mt"
"281","South Korea",2030,70.76503962,"Reference","iron and steel","Mt"
"282","South Korea",2030,65.01680894,"Material efficiency","iron and steel","Mt"
"283","South Korea",2035,52.58291616,"Material efficiency and price increase","iron and steel","Mt"
"284","South Korea",2035,68.62748094,"Reference","iron and steel","Mt"
"285","South Korea",2035,60.61782512,"Material efficiency","iron and steel","Mt"
"286","South Korea",2040,47.75919415,"Material efficiency and price increase","iron and steel","Mt"
"287","South Korea",2040,65.41932859,"Reference","iron and steel","Mt"
"288","South Korea",2040,55.46545717,"Material efficiency","iron and steel","Mt"
"289","South Korea",2045,42.6386488914,"Material efficiency and price increase","iron and steel","Mt"
"290","South Korea",2045,61.411215,"Reference","iron and steel","Mt"
"291","South Korea",2045,49.8883025,"Material efficiency","iron and steel","Mt"
"292","South Korea",2050,37.9314290289044,"Material efficiency and price increase","iron and steel","Mt"
"293","South Korea",2050,56.837399,"Reference","iron and steel","Mt"
"294","South Korea",2050,44.1546055,"Material efficiency","iron and steel","Mt"
"295","US",2020,88.62609966,"Material efficiency and price increase","iron and steel","Mt"
"296","US",2020,89.16030269,"Reference","iron and steel","Mt"
"297","US",2020,89.16032361,"Material efficiency","iron and steel","Mt"
"298","US",2025,82.27546206,"Material efficiency and price increase","iron and steel","Mt"
"299","US",2025,93.35402999,"Reference","iron and steel","Mt"
"300","US",2025,86.76374514,"Material efficiency","iron and steel","Mt"
"301","US",2030,82.01973194,"Material efficiency and price increase","iron and steel","Mt"
"302","US",2030,96.23884201,"Reference","iron and steel","Mt"
"303","US",2030,86.66895728,"Material efficiency","iron and steel","Mt"
"304","US",2035,81.17132978,"Material efficiency and price increase","iron and steel","Mt"
"305","US",2035,98.30143953,"Reference","iron and steel","Mt"
"306","US",2035,85.599014359,"Material efficiency","iron and steel","Mt"
"307","US",2040,78.930401964,"Material efficiency and price increase","iron and steel","Mt"
"308","US",2040,99.62716245,"Reference","iron and steel","Mt"
"309","US",2040,83.73236201,"Material efficiency","iron and steel","Mt"
"310","US",2045,75.96969378241,"Material efficiency and price increase","iron and steel","Mt"
"311","US",2045,100.35504724,"Reference","iron and steel","Mt"
"312","US",2045,81.25551028,"Material efficiency","iron and steel","Mt"
"313","US",2050,72.7409017461642,"Material efficiency and price increase","iron and steel","Mt"
"314","US",2050,100.5922202,"Reference","iron and steel","Mt"
"315","US",2050,78.312195,"Material efficiency","iron and steel","Mt"
